我不是药神,文牧野 Muye Wen,2018,9.0,1975970
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,9.0,1481420
何以为家,娜丁·拉巴基 Nadine Labaki,2018,9.1,977557
十二怒汉,Sidney Lumet,1957,9.4,452237
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,9.1,950191
少年派的奇幻漂流,李安 Ang Lee,2012,9.1,1278997
鬼子来了,姜文 Wen Jiang,2000,9.3,585599
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,9.1,933389
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,9.0,1151438
让子弹飞,姜文 Wen Jiang,2010,9.0,1586973
天空之城,宫崎骏 Hayao Miyazaki,1986,9.1,772690
钢琴家,罗曼·波兰斯基 Roman Polanski,2002,9.3,578535
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,9.2,704509
闻香识女人,马丁·布莱斯 Martin Brest,1992,9.1,822494
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,531696
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,9.2,645978
罗马假日,威廉·惠勒 William Wyler,1953,9.1,900495
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,9.1,795044
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,9.1,789585
大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,402524
死亡诗社,彼得·威尔 Peter Weir,1989,9.1,666958
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,9.3,512064
绿皮书,彼得·法雷里 Peter Farrelly,2018,8.9,1526947
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,9.1,784204
辩护人,杨宇硕 Woo-seok Yang,2013,9.2,557907
搏击俱乐部,大卫·芬奇 David Fincher,1999,9.0,798374
饮食男女,李安 Ang Lee,1994,9.2,575949
美丽心灵,朗·霍华德 Ron Howard,2001,9.1,723214
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,9.0,926876
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,9.2,519156
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,2006,9.2,530635
情书,岩井俊二 Shunji Iwai,1995,8.9,1025197
两杆大烟枪,Guy Ritchie,1998,9.1,562916
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,8.9,918125
看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,8.8,1173869
音乐之声,罗伯特·怀斯 Robert Wise,1965,9.1,563713
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,9.1,608775
飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,9.1,520707
小鞋子,马基德·马基迪 Majid Majidi,1997,9.2,384242
阿凡达,詹姆斯·卡梅隆 James Cameron,2009,8.8,1300972
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,9.0,769836
沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,8.9,827102
致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,8.9,807103
禁闭岛,Martin Scorsese,2010,8.9,908776
布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,8.9,862968
海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,9.3,343202
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,8.9,879783
美国往事,赛尔乔·莱翁内 Sergio Leone,1984,9.2,388306
心灵捕手,格斯·范·桑特 Gus Van Sant,1997,8.9,665268
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,8.9,781539
春光乍泄,王家卫 Kar Wai Wong,1997,9.0,591572
摩登时代,查理·卓别林 Charles Chaplin,1936,9.3,279652
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,8.8,907430
功夫,周星驰 Stephen Chow,2004,8.8,1028091
七宗罪,大卫·芬奇 David Fincher,1995,8.8,895216
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,2004,8.9,661160
超脱,托尼·凯耶 Tony Kaye,2011,9.0,531708
致命ID,詹姆斯·曼高德 James Mangold,2003,8.8,765683
杀人回忆,奉俊昊 Joon-ho Bong,2003,8.9,658760
红辣椒,今敏 Satoshi Kon,2006,9.1,424041
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,809007
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.9,669244
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,361864
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,520631
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,8.9,672110
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,989575
断背山,李安 Ang Lee,2005,8.8,671973
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.7,1005847
哈利·波特与密室,Chris Columbus,2002,8.8,687472
勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,536679
一一,杨德昌 Edward Yang,2000,9.1,355872
入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,626210
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,522323
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,626352
重庆森林,王家卫 Kar Wai Wong,1994,8.8,757470
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.8,677524
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,8.7,922427
幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,493447
菊次郎的夏天,北野武 Takeshi Kitano,1999,8.9,556950
小森林 夏秋篇,森淳一 Junichi Mori,2014,9.0,401473
阳光灿烂的日子,姜文 Wen Jiang,1994,8.9,579885
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.7,949110
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,9.1,291911
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,515705
无人知晓,是枝裕和 Hirokazu Koreeda,2004,9.1,296013
消失的爱人,大卫·芬奇 David Fincher,2014,8.7,872115
甜蜜蜜,陈可辛 Peter Chan,1996,8.9,498104
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,516429
倩女幽魂,程小东 Siu-Tung Ching,1987,8.8,688950
小森林 冬春篇,森淳一 Junichi Mori,2015,9.0,357710
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,8.9,433282
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,612109
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,8.8,529514
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,8.8,711840
萤火之森,大森贵弘 Takahiro Omori,2011,8.9,498028
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,9.0,345666
寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,1288142
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,8.8,624583
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,8.9,432133
玛丽和马克思,亚当·艾略特 Adam Elliot,2009,8.9,404909
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,8.9,480252
未麻的部屋,今敏 Satoshi Kon,1997,9.1,300709
傲慢与偏见,乔·怀特 Joe Wright,2005,8.7,742360
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,8.6,896459
大鱼,蒂姆·波顿 Tim Burton,2003,8.8,538295
告白,中岛哲也 Tetsuya Nakashima,2010,8.8,640485
釜山行,延尚昊 Sang-ho Yeon,2016,8.6,1122374
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,8.8,570708
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.7,598938
